"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Comparison","GeneSetType"
"REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS",372,0.413690960049214,2.08818448433513,1e-10,5.93333333333333e-09,5.03759398496241e-09,2424,"tags=35%, list=18%, signal=30%","CXCL2/CXCL1/CCL20/CCL2/ITGAX/CCL3/SERPINB2/OSM/SDC1/JUN/SOCS3/CCL3L3/BCL6/MYD88/NFKB1/CDKN1A/CCR1/CXCL10/NFKB2/IL6/MCL1/PTGS2/CCL4/IRAK2/NFKBIA/IL1RN/IL1B/CAPZA1/PTPN12/STAT1/HAVCR2/SOD2/TYK2/CSF2RB/RIPK2/UBE2N/TIMP1/S100A12/IL10/DUSP6/LYN/MEF2A/PIM1/PELI1/TNIP2/VEGFA/TBK1/PPP2CB/IL1RAP/IL1A/IL2RA/SOCS1/HSP90B1/CCR5/FPR1/CISH/STX1A/IL1R1/FBXW11/FOXO3/ATF2/IL1R2/HSP90AA1/ICAM1/PSMC2/PSMA3/HIF1A/VIM/LGALS9/PSMD12/PTPN11/CD36/PSMA2/MAP3K8/HGF/CSF3/BIRC5/STX3/FYN/MAPK14/PSMD14/NOD2/HSPA9/TAB3/LAMA5/ITGAM/PAK2/ALOX5/DUSP4/PPP2R1B/AKT1/IL6ST/CEBPD/IL18R1/PSMD11/USP14/PELI2/JAK2/RORA/MMP9/PITPNA/PTPN2/IL27/TXLNA/IL15RA/PTPN7/MYC/IL18BP/PSMB3/ZEB1/VAV1/SNRPA1/PPP2CA/ANXA1/IL2RB/PTAFR/ARF1/POU2F1/USP18/CDC42/NFKBIB/NKIRAS1/UBB/CD86/FOS/IFNLR1/ITGB1/CLCF1/JAK1/SQSTM1/ALPK1/MAP2K1","COVID_Mild","Reactome"
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",85,0.493366419127072,2.04523599572148,7.11984826881765e-06,0.000227470024178123,0.000185634910328687,1794,"tags=38%, list=13%, signal=33%","BCL6/PTGS2/OSM/MCL1/FN1/ITGAX/IL1B/MMP9/BIRC5/CCND1/TYK2/ICAM1/IL6/HSP90AA1/VEGFA/CDKN1A/LAMA5/F13A1/ITGAM/IL10/PIM1/FOXO3/SOCS1/ALOX5/LCN2/SOCS3/HGF/MAOA/IL1A/IL18/HSP90B1/HIF1A","COVID_Severe","Reactome"
"REACTOME_INTERLEUKIN_6_SIGNALING","REACTOME_INTERLEUKIN_6_SIGNALING",11,0.797254229446578,2.03939121174505,0.000222272185217537,0.00512872486631576,0.004354455090519,2388,"tags=73%, list=18%, signal=60%","SOCS3/IL6/STAT1/TYK2/PTPN11/IL6ST/JAK2/JAK1","COVID_Mild","Reactome"
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",85,0.469370317231577,1.95499784269902,3.42341671271375e-05,0.000907569622136455,0.000753688382664641,2162,"tags=46%, list=16%, signal=39%","BCL6/MMP9/LCN2/PTGS2/MCL1/IL1B/ITGAM/BIRC5/STAT3/MUC1/PIM1/IL4R/FOS/ALOX5/HIF1A/SOCS1/ICAM1/IL10/FN1/RHOU/VEGFA/JAK2/F13A1/IL6/ANXA1/MAOA/TIMP1/OSM/ITGAX/HGF/TYK2/JAK3/CD36/FOXO3/VIM/HSP90B1/CEBPD/JUNB/IL18","COVID_Critical","Reactome"
"REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS",372,0.362537309689527,1.82987782923976,1.03715303040772e-08,6.46146337944009e-07,5.27310435459925e-07,2828,"tags=35%, list=21%, signal=28%","CXCL1/CXCL2/IL1R2/CCL20/SDC1/FPR1/BCL6/CCL3/UBB/IL1RN/PTGS2/OSM/JUN/MCL1/NFKBIA/FN1/ITGAX/IL1B/CCL3L3/MAPK14/S100A12/SERPINB2/SOD2/MMP9/BIRC5/RELA/CCL4/CCND1/VAV1/STX3/MYD88/STX4/TYK2/ICAM1/IL6/HSP90AA1/VEGFA/CSF3R/CDKN1A/PELI1/NFKB1/LAMA5/IKBIP/F13A1/PTPN12/IL15/ITGAM/IL10/PPP2CB/PIM1/FOXO3/NOD2/CISH/MAP2K6/PRKACA/CAPZA1/PSMB5/NKIRAS1/IL1RAP/SOCS1/IL1R1/MAP3K8/PELI2/CSF2RB/PSMA2/PSMC3/P4HB/MEF2A/CHUK/ARF1/ALOX5/LCN2/DUSP6/SOCS3/HGF/MAPKAPK3/PTAFR/IRAK2/MAOA/TBK1/IL1A/PAK2/TNIP2/IL18/CCR2/CCR1/LYN/PRTN3/NKIRAS2/PPP2R1B/PITPNA/HSP90B1/CXCL10/RPS6KA1/HIF1A/NLRC5/FSCN1/RIPK2/HAVCR2/TALDO1/ALPK1/STAT5B/FBXW11/PTPN7/PSMC2/VAMP7/GAB2/IRS1/IL13RA1/PSMB7/CANX/CSF3/PSMD11/HSPA9/OSMR/FOS/IL18RAP/BOLA2B/CRLF1/IL2RA/IRS2/NFKB2/TCP1/ATF2/PSMB3/TXLNA/TIMP1/ANXA2/JAK1/PSMA3","COVID_Severe","Reactome"
"REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS",372,0.349315164291102,1.75058900400912,1.35262401652684e-07,5.61789841530813e-06,4.66536634472239e-06,2188,"tags=29%, list=16%, signal=25%","CXCL2/BCL6/MMP9/CXCL1/IL1R2/S100A12/LCN2/CCL20/MAPK14/STX3/FPR1/CSF3R/NFKBIA/SDC1/PRTN3/PTGS2/PSMB3/CCL3/MCL1/CTSG/HNRNPF/IL1B/IRS2/SOD2/ITGAM/MYD88/BIRC5/STAT3/MUC1/ALPK1/LYN/IL1R1/IRAK3/PIM1/MEF2A/MTAP/IL4R/NLRX1/FOS/IL17RA/SERPINB2/ALOX5/HIF1A/TALDO1/IL1RN/CCL3L3/MAPK1/SOCS1/TOLLIP/CRK/SYK/JUN/IL10RB/IRAK2/ICAM1/PSMB2/IL10/HNRNPA2B1/FN1/MAP2K3/RHOU/VEGFA/JAK2/F13A1/IL6/PTPN2/ANXA1/MAOA/RPS6KA2/CAPZA1/DUSP6/TIMP1/OSM/ITGAX/IL18R1/MAP2K1/CCL4/CCR2/IL1RAP/PSMB7/DUSP3/HGF/PIK3CB/TYK2/JAK3/IL17RC/IL18RAP/CD36/MAPK9/MAP3K8/GRB2/UBB/FOXO3/ANXA2/UBE2N/VIM/HSP90B1/PSMA2/IKBIP/MAPK3/PTPN11/CA1/CEBPD/CASP1/PRKACA/JUNB/IL18/CSF3/P4HB","COVID_Critical","Reactome"
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION","REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",64,0.439433263522052,1.71357414278963,0.00152800426467732,0.022506495296902,0.0191087503365604,1307,"tags=23%, list=10%, signal=21%","FCGR1A/SRC/IL6/GNG5/ITPR3/GNAI3/IL10/LYN/CYSLTR1/ADORA2B/GNB2/ITPR2/FYN/RHBDF2/MAPK14","COVID_Mild","Reactome"
"REACTOME_INTERLEUKIN_1_SIGNALING","REACTOME_INTERLEUKIN_1_SIGNALING",98,0.397581824826357,1.70530605681306,0.000869122275077956,0.010216286365539,0.00833735965963561,3383,"tags=46%, list=25%, signal=35%","IL1R2/UBB/IL1RN/NFKBIA/IL1B/S100A12/RELA/MYD88/PELI1/NFKB1/IKBIP/NOD2/MAP2K6/PSMB5/NKIRAS1/IL1RAP/IL1R1/MAP3K8/PELI2/PSMA2/PSMC3/CHUK/IRAK2/IL1A/TNIP2/NKIRAS2/NLRC5/RIPK2/ALPK1/FBXW11/PSMC2/PSMB7/PSMD11/NFKB2/PSMB3/PSMA3/PSMC4/PSMD12/USP18/MAP2K1/MAP3K7/BTRC/USP14/TP53/PSMD14","COVID_Severe","Reactome"
"REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING","REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING",124,0.376947850399125,1.67184003660133,0.000869122275077956,0.010216286365539,0.00833735965963561,3383,"tags=43%, list=25%, signal=32%","IL1R2/UBB/IL1RN/NFKBIA/IL1B/S100A12/RELA/MYD88/PELI1/NFKB1/IKBIP/PTPN12/NOD2/MAP2K6/PSMB5/NKIRAS1/IL1RAP/IL1R1/MAP3K8/PELI2/PSMA2/PSMC3/CHUK/ALOX5/IRAK2/TBK1/IL1A/TNIP2/IL18/NKIRAS2/NLRC5/RIPK2/ALPK1/FBXW11/PTPN7/PSMC2/PSMB7/PSMD11/IL18RAP/NFKB2/PSMB3/PSMA3/SMAD3/PSMC4/PSMD12/USP18/MAP2K1/MAP3K7/BTRC/USP14/CTSG/TP53/PSMD14","COVID_Severe","Reactome"
"REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING","REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING",124,0.380252883983361,1.66119945883061,0.000532340382840419,0.0105633509235124,0.00896863029325841,2424,"tags=35%, list=18%, signal=29%","MYD88/NFKB1/NFKB2/IRAK2/NFKBIA/IL1RN/IL1B/PTPN12/RIPK2/UBE2N/S100A12/PELI1/TNIP2/TBK1/IL1RAP/IL1A/IL1R1/FBXW11/IL1R2/PSMC2/PSMA3/PSMD12/PTPN11/PSMA2/MAP3K8/PSMD14/NOD2/TAB3/ALOX5/IL18R1/PSMD11/USP14/PELI2/PTPN2/PTPN7/IL18BP/PSMB3/USP18/NFKBIB/NKIRAS1/UBB/SQSTM1/ALPK1/MAP2K1","COVID_Mild","Reactome"
"REACTOME_INTERLEUKIN_1_SIGNALING","REACTOME_INTERLEUKIN_1_SIGNALING",98,0.392570243972308,1.63997229852691,0.000795726420852821,0.0145205613018117,0.0123284312818457,2424,"tags=37%, list=18%, signal=30%","MYD88/NFKB1/NFKB2/IRAK2/NFKBIA/IL1RN/IL1B/RIPK2/UBE2N/S100A12/PELI1/TNIP2/IL1RAP/IL1A/IL1R1/FBXW11/IL1R2/PSMC2/PSMA3/PSMD12/PSMA2/MAP3K8/PSMD14/NOD2/TAB3/PSMD11/USP14/PELI2/PSMB3/USP18/NFKBIB/NKIRAS1/UBB/SQSTM1/ALPK1/MAP2K1","COVID_Mild","Reactome"
"REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING","REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING",124,0.351302022200016,1.54865472399507,0.00305214212731525,0.034889624684723,0.0289739807933452,2676,"tags=33%, list=20%, signal=27%","IL1R2/S100A12/NFKBIA/PSMB3/CTSG/IL1B/MYD88/STAT3/ALPK1/IL1R1/IRAK3/NLRX1/ALOX5/IL1RN/TOLLIP/IRAK2/PSMB2/PTPN2/IL18R1/MAP2K1/IL1RAP/PSMB7/IL18RAP/MAP3K8/UBB/UBE2N/PSMA2/IKBIP/PTPN11/CASP1/IL18/RIPK2/HMGB1/MAP2K6/NOD2/PSMD3/NFKB1/CHUK/PELI2/NFKBIB/PSMA1","COVID_Critical","Reactome"
